-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::slice         0.32%      36.446ms         0.40%      45.592ms       2.338us       0.000us         0.00%       0.000us       0.000us         19503  
                                       aten::as_strided         0.81%      93.315ms         0.81%      93.315ms       0.677us       0.000us         0.00%       0.000us       0.000us        137777  
                                        cudaMemcpyAsync         0.86%      99.280ms         0.88%     101.463ms      11.223us       0.000us         0.00%       3.744us       0.000us          9041  
                                       aten::lift_fresh         0.00%     127.375us         0.00%     127.375us       0.533us       0.000us         0.00%       0.000us       0.000us           239  
                                          aten::flatten         0.00%     457.481us         0.02%       1.801ms       8.872us       0.000us         0.00%       0.000us       0.000us           203  
                                             aten::view         0.49%      56.797ms         0.49%      56.802ms       0.644us       0.000us         0.00%       0.000us       0.000us         88237  
                                       cudaLaunchKernel         6.62%     760.641ms        12.69%        1.458s      14.864us       0.000us         0.00%       1.310ms       0.013us         98096  
                                            aten::fill_         0.01%       1.591ms         0.01%       1.591ms       3.920us       0.000us         0.00%       0.000us       0.000us           406  
                                               aten::to         0.02%       1.959ms         0.52%      60.051ms      47.888us       0.000us         0.00%       5.295ms       4.222us          1254  
                                         aten::_to_copy         0.04%       4.324ms         0.51%      58.092ms      55.273us       0.000us         0.00%       5.295ms       5.038us          1051  
                                    aten::empty_strided         1.55%     178.480ms         1.57%     179.908ms       5.922us       0.000us         0.00%       0.000us       0.000us         30378  
                                        aten::embedding         0.01%     675.162us         0.07%       7.645ms      37.660us       0.000us         0.00%       1.477ms       7.275us           203  
                                            aten::empty         2.03%     233.120ms         2.03%     233.120ms       4.551us       0.000us         0.00%       0.000us       0.000us         51220  
                                          aten::resize_         0.01%       1.707ms         0.01%       1.707ms       4.398us       0.000us         0.00%       0.000us       0.000us           388  
                                           aten::expand         0.42%      47.810ms         0.53%      60.491ms       2.759us       0.000us         0.00%       0.000us       0.000us         21928  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.494s
Self CUDA time total: 6.229s

